ticker,XLB US Equity,XLB US Equity,XLB US Equity,XLB US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-10-04,56.31,1.2762,6295202.0,103.405
2019-10-06,56.31,1.2762,6295202.0,121.364
2019-10-07,56.11,1.2423,8630537.0,121.364
2019-10-08,55.13,1.2145,7814977.0,121.364
2019-10-09,55.75,1.1484,9098002.0,121.364
2019-10-10,56.26,1.1435,6773677.0,121.364
2019-10-11,57.35,1.1357,10309247.0,121.364
2019-10-13,57.35,1.1357,10309247.0,127.249
2019-10-14,56.94,1.2125,4705055.0,127.249
2019-10-15,57.34,1.1687,4915316.0,127.249
2019-10-16,57.46,1.1656,3845503.0,127.249
2019-10-17,57.61,1.1547,3111853.0,127.249
2019-10-18,57.51,1.0944,3082078.0,127.249
2019-10-20,57.51,1.0944,3082078.0,127.142
2019-10-21,57.33,1.1095,2926293.0,127.142
2019-10-22,57.09,1.2886,4117236.0,127.142
2019-10-23,57.45,1.3382,3998872.0,127.142
2019-10-24,57.63,1.3163,4700694.0,127.142
2019-10-25,58.26,1.3035999999999999,4037536.0,127.142
2019-10-27,58.26,1.3035999999999999,4037536.0,128.399
2019-10-28,58.44,1.2896,3404488.0,128.399
2019-10-29,58.8,1.4027,4145537.0,128.399
2019-10-30,58.85,1.4276,6347197.0,128.399
2019-10-31,58.19,1.4377,7136676.0,128.399
2019-11-01,59.01,1.3875,4666291.0,128.399
2019-11-03,59.01,1.3875,4666291.0,125.055
2019-11-04,59.47,1.4432,3090331.0,125.055
2019-11-05,59.57,1.4521,3740520.0,125.055
2019-11-06,59.53,1.4606,3994317.0,125.055
2019-11-07,59.93,1.4856,4193862.0,125.055
2019-11-08,60.17,1.4783,2880141.0,125.055
2019-11-10,60.17,1.4783,2880141.0,119.339
2019-11-11,60.08,1.5213999999999999,4121359.0,119.339
2019-11-12,60.39,1.4636,4960321.0,119.339
2019-11-13,60.04,1.3877,5343466.0,119.339
2019-11-14,60.41,1.3473,3581184.0,119.339
2019-11-15,60.36,1.256,3410864.0,119.339
2019-11-17,60.36,1.256,3410864.0,123.516
2019-11-18,60.21,1.3239,2916562.0,123.516
2019-11-19,60.08,1.07,3631240.0,123.516
2019-11-20,59.33,1.0693,5612973.0,123.516
2019-11-21,59.23,1.0764,3173638.0,123.516
2019-11-22,59.33,1.0873,2874686.0,123.516
2019-11-24,59.33,1.0873,2874686.0,125.86
2019-11-25,59.72,1.049,3114349.0,125.86
2019-11-26,60.02,1.0547,3936185.0,125.86
2019-11-27,60.26,1.0266,5041494.0,125.86
2019-11-29,60.04,1.029,3533603.0,125.86
2019-12-01,60.04,1.029,3533603.0,122.727
2019-12-02,59.44,1.0318,6973263.0,122.727
2019-12-03,59.06,1.0379,8661001.0,122.727
2019-12-04,59.19,1.0632,5609254.0,122.727
2019-12-05,59.49,1.0695999999999999,5204645.0,122.727
2019-12-06,60.1,1.0713,6597180.0,122.727
2019-12-08,60.1,1.0713,6597180.0,119.719
2019-12-09,59.98,1.0646,3031046.0,119.719
2019-12-10,59.62,1.0574,3550361.0,119.719
2019-12-11,60.07,1.0759,3492653.0,119.719
2019-12-12,60.91,1.1122,7225379.0,119.719
2019-12-13,60.44,1.1094,5083446.0,119.719
2019-12-15,60.44,1.1094,5083446.0,116.232
2019-12-16,60.7,1.1338,8992999.0,116.232
2019-12-17,60.79,1.0841,5025854.0,116.232
2019-12-18,60.71,1.1115,3673676.0,116.232
2019-12-19,60.92,1.1104,3095601.0,116.232
2019-12-20,60.88,1.2847,4257427.0,116.232
2019-12-22,60.88,1.2847,4257427.0,111.748
2019-12-23,61.05,1.3065,3144019.0,111.748
2019-12-24,61.12,1.1303,1450673.0,111.748
2019-12-26,61.39,1.1259000000000001,2802354.0,111.748
2019-12-27,61.16,1.1082,6802737.0,111.748
2019-12-29,61.16,1.1082,6802737.0,121.019
2019-12-30,60.97,1.0834,3007741.0,121.019
2019-12-31,61.42,1.1082,2695032.0,121.019
