ticker,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-09-03,11.55,32.46,1375.65,22.3635,7.3795,4.454,4.91,4.4716000000000005
2019-09-04,11.65,32.46,1399.16,22.7456,7.5056,4.5302,4.83,4.3964
2019-09-05,11.7,32.46,1428.93,23.2296,7.6653,4.6266,4.73,4.3049
2019-09-06,11.68,32.46,1426.76,23.1943,7.6537,4.6195,4.73,4.3114
2019-09-09,11.71,32.46,1416.49,23.0274,7.5986,4.5863,4.77,4.3427
2019-09-10,11.68,32.46,1409.53,22.9142,7.5612,4.5637,4.79,4.3641
2019-09-11,11.7,32.46,1423.77,23.1457,7.6376,4.6098,4.74,4.3205
2019-09-12,11.73,32.46,1430.86,23.261,7.6757,4.6328,4.72,4.299
2019-09-13,11.73,32.46,1421.26,23.1049,7.6242,4.6017,4.75,4.3281
2019-09-16,11.81,32.46,1417.4,23.0422,7.6035,4.5892,4.77,4.3399
2019-09-17,11.83,32.46,1422.34,23.1225,7.63,4.6052,4.75,4.3248
2019-09-18,11.8,32.46,1423.27,23.1376,7.6349,4.6082,4.75,4.322
2019-09-19,11.77,32.46,1426.3,23.1869,7.6512,4.618,4.74,4.3128
2019-09-20,11.53,32.46,1410.34,22.9274,7.5656,4.5664,4.79,4.3616
2019-09-23,11.64,32.45,1413.57,23.106,7.5898,4.5458,4.76,4.3279
2019-09-24,11.61,32.45,1399.08,22.8692,7.5120000000000005,4.4992,4.8,4.3727
2019-09-25,11.62,32.45,1416.42,23.1526,7.6051,4.555,4.75,4.3192
2019-09-26,9.66,32.45,1416.98,23.1618,7.6081,4.5568,4.74,4.3175
2019-09-27,9.65,32.45,1398.82,22.8698,7.5105,4.4979,4.8100000000000005,4.3726
2019-09-30,9.64,29.98,1413.36,22.8405,6.8783,4.4895,4.86,4.3782
2019-10-01,9.65,29.98,1401.34,22.6463,6.8198,4.4513,4.9,4.4157
2019-10-02,9.63,29.98,1373.62,22.1983,6.6849,4.3633,5.0,4.5048
2019-10-03,9.27,29.98,1390.61,22.4729,6.7676,4.4172,4.9399999999999995,4.4498
2019-10-04,9.29,29.97,1414.4,22.941,6.8839,4.4974,4.85,4.359
2019-10-07,9.27,29.97,1407.63,22.8312,6.851,4.4758,4.87,4.38
2019-10-08,9.28,29.97,1382.07,22.4166,6.7266,4.3946,4.96,4.461
2019-10-09,9.29,29.97,1402.13,22.742,6.8242,4.4584,4.89,4.3972
2019-10-10,9.3,29.97,1411.07,22.887,6.8677,4.4868,4.86,4.3693
2019-10-11,9.3,29.97,1432.11,23.2283,6.9701,4.5537,4.79,4.3051
2019-10-14,9.29,29.97,1430.66,23.2047,6.9631,4.5491,4.8,4.3095
2019-10-15,9.27,29.97,1446.46,23.461,7.04,4.5993,4.74,4.2624
2019-10-16,9.26,29.97,1436.24,23.2952,6.9902,4.5668,4.78,4.2927
2019-10-17,9.27,29.97,1432.88,23.2407,6.9739,4.5561,4.79,4.3028
2019-10-18,9.17,29.97,1419.82,23.0289,6.9103,4.5146,4.83,4.3424
2019-10-21,9.18,29.97,1434.96,23.2745,6.984,4.5626999999999995,4.78,4.2966
2019-10-22,9.14,29.97,1415.29,22.9554,6.8883,4.5001999999999995,4.85,4.3563
2019-10-23,9.14,29.97,1417.01,22.9833,6.8966,4.5057,4.84,4.351
2019-10-24,9.15,29.97,1438.0,23.3238,6.9988,4.5724,4.77,4.2875
2019-10-25,9.14,29.97,1455.22,23.6031,7.0826,4.6272,4.71,4.2367
2019-10-28,9.14,29.81,1473.63,23.8982,7.1575,4.6817,4.67,4.1844
2019-10-29,9.06,29.81,1460.08,23.6785,7.0917,4.6387,4.72,4.2232
2019-10-30,9.26,29.81,1468.97,23.8227,7.1349,4.6669,4.6899999999999995,4.1977
2019-10-31,8.77,29.64,1467.2,23.8432,6.9891,4.6530000000000005,4.7,4.1941
2019-11-01,8.78,29.64,1485.07,24.1336,7.0742,4.7096,4.64,4.1436
2019-11-04,8.87,29.45,1493.2,24.3146,7.1157,4.7337,4.62,4.1128
2019-11-05,8.85,29.45,1491.04,24.2794,7.1054,4.7268,4.62,4.1187
2019-11-06,8.84,29.45,1490.83,24.276,7.1044,4.7262,4.62,4.1193
2019-11-07,8.83,29.45,1500.81,24.4385,7.152,4.7578,4.59,4.0919
2019-11-08,8.87,29.45,1509.6,24.5816,7.1939,4.7857,4.57,4.0681
2019-11-11,8.89,29.45,1510.51,24.5964,7.1982,4.7885,4.5600000000000005,4.0656
2019-11-12,12.01,29.45,1514.87,24.6674,7.219,4.8024000000000004,4.55,4.0539
2019-11-13,12.33,29.45,1518.68,24.7295,7.2371,4.8144,4.54,4.0438
2019-11-14,12.4,29.45,1516.68,24.6969,7.2276,4.8081,4.55,4.0491
2019-11-15,12.52,29.45,1529.44,24.9047,7.2884,4.8486,4.51,4.0153
2019-11-18,12.58,29.44,1533.31,24.9911,7.3014,4.8612,4.49,4.0014
2019-11-19,12.52,29.44,1537.04,25.0518,7.3191,4.873,4.48,3.9917
2019-11-20,12.47,29.44,1525.92,24.8706,7.2661999999999995,4.8378,4.52,4.0208
2019-11-21,12.53,29.43,1518.52,24.9711,7.2837,4.8449,4.51,4.0046
2019-11-22,12.51,29.43,1516.67,24.9407,7.2749,4.839,4.52,4.0095
2019-11-25,12.6,29.43,1538.32,25.2967,7.3787,4.9081,4.45,3.9531
2019-11-26,13.17,29.43,1539.37,25.314,7.3837,4.9114,4.45,3.9504
2019-11-27,12.87,29.43,1548.18,25.4589,7.426,4.9395,4.43,3.9279
