ticker,XLK US Equity,XLK US Equity,XLK US Equity,XLK US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-10-09,79.91,1.5829,10278920.0,57.948
2019-10-10,80.46,1.5502,9480037.0,57.948
2019-10-11,81.57,1.5514000000000001,15996561.0,57.948
2019-10-13,81.57,1.5514000000000001,15996561.0,58.069
2019-10-14,81.52,1.576,5666424.0,58.069
2019-10-15,82.42,1.5626,8119003.0,58.069
2019-10-16,81.85,1.5683,10125533.0,58.069
2019-10-17,81.69,1.5876000000000001,6866203.0,58.069
2019-10-18,80.91,1.579,8726315.0,58.069
2019-10-20,80.91,1.579,8726315.0,58.18
2019-10-21,81.78,1.8822,6345480.0,58.18
2019-10-22,80.68,1.9364,9235221.0,58.18
2019-10-23,80.75,1.9358,8953875.0,58.18
2019-10-24,81.93,1.909,7308684.0,58.18
2019-10-25,82.92,1.9174,8152726.0,58.18
2019-10-27,82.92,1.9174,8152726.0,58.123
2019-10-28,83.97,1.9352,7229856.0,58.123
2019-10-29,83.21,1.8706,7760442.0,58.123
2019-10-30,83.72,1.8777,12779335.0,58.123
2019-10-31,83.67,1.8918,11230889.0,58.123
2019-11-01,84.67,1.8940000000000001,9920592.0,58.123
2019-11-03,84.67,1.8940000000000001,9920592.0,57.717
2019-11-04,85.11,2.0038,10181562.0,57.717
2019-11-05,85.01,1.9154,7899848.0,57.717
2019-11-06,84.97,1.9181,8538613.0,57.717
2019-11-07,85.64,1.9268999999999998,14042469.0,57.717
2019-11-08,86.12,1.9214,6286580.0,57.717
2019-11-10,86.12,1.9214,6286580.0,56.595
2019-11-11,86.16,1.9618,4244082.0,56.595
2019-11-12,86.45,1.9191,8281547.0,56.595
2019-11-13,86.64,1.9186999999999999,7686192.0,56.595
2019-11-14,86.54,1.8913,6091442.0,56.595
2019-11-15,87.24,1.8897,7062496.0,56.595
2019-11-17,87.24,1.8897,7062496.0,56.996
2019-11-18,87.5,2.246,6512351.0,56.996
2019-11-19,87.67,2.0257,7043682.0,56.996
2019-11-20,87.14,2.0554,12379895.0,56.996
2019-11-21,86.7,2.0941,9377772.0,56.996
2019-11-22,86.59,1.994,5890416.0,56.996
2019-11-24,86.59,1.994,5890416.0,55.816
2019-11-25,87.85,2.1086,7369881.0,55.816
2019-11-26,87.93,2.1002,9727323.0,55.816
2019-11-27,88.42,2.0823,9349030.0,55.816
2019-11-29,88.16,2.0749,5680094.0,55.816
2019-12-01,88.16,2.0749,5680094.0,55.459
2019-12-02,86.9,2.1083,11587418.0,55.459
2019-12-03,86.13,2.1195,11250999.0,55.459
2019-12-04,86.48,2.1035,6915096.0,55.459
2019-12-05,86.8,2.1151,7810387.0,55.459
2019-12-06,87.76,2.1372,9205570.0,55.459
2019-12-08,87.76,2.1372,9205570.0,55.419
2019-12-09,87.3,2.179,5803432.0,55.419
2019-12-10,87.37,2.1171,6175542.0,55.419
2019-12-11,87.96,2.123,4939468.0,55.419
2019-12-12,88.9,2.1154,12097367.0,55.419
2019-12-13,89.49,2.0771,13128662.0,55.419
2019-12-15,89.49,2.0771,13128662.0,55.897
2019-12-16,90.29,2.1158,9873486.0,55.897
2019-12-17,90.08,2.0153,7459673.0,55.897
2019-12-18,90.07,2.0171,6485833.0,55.897
2019-12-19,90.72,2.0269,6862859.0,55.897
2019-12-20,90.95,3.5994,11707905.0,55.897
2019-12-22,90.95,3.5994,11707905.0,56.09
2019-12-23,91.21,3.5016,7765182.0,56.09
2019-12-24,91.24,2.7478,2445364.0,56.09
2019-12-26,91.92,2.7291,4134648.0,56.09
2019-12-27,91.91,2.7331,9666200.0,56.09
2019-12-29,91.91,2.7331,9666200.0,56.572
2019-12-30,91.38,2.144,8245638.0,56.572
2019-12-31,91.67,2.14,5801615.0,56.572
