ticker,XLI US Equity,XLI US Equity,XLI US Equity,XLI US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-12-06,81.11,1.5231,8966740.0,86.141
2019-12-08,81.11,1.5231,8966740.0,86.325
2019-12-09,80.8,1.5013,7266513.0,86.325
2019-12-10,80.7,1.4698,9046866.0,86.325
2019-12-11,81.21,1.4657,9070298.0,86.325
2019-12-12,81.93,1.3787,15561888.0,86.325
2019-12-13,81.71,1.3519999999999999,11754864.0,86.325
2019-12-15,81.71,1.3519999999999999,11754864.0,87.099
2019-12-16,81.67,1.3986,8046880.0,87.099
2019-12-17,81.59,1.4183,5949606.0,87.099
2019-12-18,81.25,1.6376,6679406.0,87.099
2019-12-19,81.47,1.6219000000000001,5743972.0,87.099
2019-12-20,81.44,1.9717,8913222.0,87.099
2019-12-22,81.44,1.9717,8913222.0,88.714
2019-12-23,82.11,1.9919,5675994.0,88.714
2019-12-24,81.78,1.748,4451649.0,88.714
2019-12-26,81.97,1.7799,3914175.0,88.714
2019-12-27,81.9,1.7121,5300722.0,88.714
2019-12-29,81.9,1.7121,5300722.0,88.063
2019-12-30,81.52,1.8258999999999999,7716351.0,88.063
2019-12-31,81.47,1.8027,6458168.0,88.063
