ticker,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-11-18,-9.11,24.18,434.57,18.0358,1.5304,1.0929,4.6,5.5445
2019-11-19,-7.9399999999999995,24.18,428.17,17.7702,1.5079,1.0768,4.67,5.6274
2019-11-20,-8.84,24.18,432.61,17.9545,1.5234999999999999,1.088,4.62,5.5696
2019-11-21,-8.87,24.18,439.68,18.2479,1.5484,1.1057,4.55,5.4801
2019-11-22,-9.26,24.18,438.15,18.1844,1.5431,1.1019,4.5600000000000005,5.4992
2019-11-25,-9.92,24.18,438.86,18.2139,1.5455999999999999,1.1037,4.5600000000000005,5.4903
2019-11-26,-9.72,24.18,434.42,18.0296,1.5299,1.0925,4.6,5.5464
2019-11-27,-10.12,24.18,435.78,18.0861,1.5347,1.0959,4.59,5.5291
2019-11-28,-10.12,24.18,435.78,18.0861,1.5347,1.0959,4.59,5.5291
2019-11-29,-9.53,24.18,431.37,17.903,1.5192,1.0848,4.64,5.5856
2019-12-02,-9.99,24.18,431.49,17.908,1.5196,1.0851,4.63,5.5841
2019-12-03,-9.85,24.18,424.81,17.6308,1.4961,1.0683,4.71,5.6719
2019-12-04,-10.91,24.18,431.48,17.9076,1.5196,1.0851,4.63,5.5842
2019-12-05,-10.88,24.18,429.34,17.8188,1.512,1.0796999999999999,4.66,5.6121
2019-12-06,-12.54,24.18,437.91,18.1745,1.5422,1.1013,4.57,5.5022
2019-12-09,-13.86,24.18,436.83,18.1296,1.5384,1.0986,4.58,5.5158000000000005
2019-12-10,-14.35,24.18,437.49,18.157,1.5407,1.1002,4.57,5.5075
2019-12-11,-114.17,24.18,436.81,18.1288,1.5383,1.0985,4.58,5.5161
2019-12-12,1.41,24.18,445.4,18.4853,1.5686,1.1201,4.49,5.4097
2019-12-13,1.4,24.18,441.35,18.3172,1.5543,1.1099,4.53,5.4593
2019-12-16,1.41,24.18,447.64,18.5783,1.5765,1.1258,4.47,5.3826
2019-12-17,1.41,24.18,447.47,18.5712,1.5758999999999999,1.1253,4.47,5.3847
2019-12-18,1.42,24.18,448.83,18.6277,1.5807,1.1287,4.46,5.3684
2019-12-19,1.9,24.18,448.55,18.6161,1.5796999999999999,1.1280000000000001,4.46,5.3717
2019-12-20,1.9,24.18,452.48,18.7792,1.5935000000000001,1.1379,4.42,5.3251
2019-12-23,1.76,24.18,457.28,18.997,1.6106,1.1519,4.37,5.264
2019-12-24,1.76,24.18,457.06,18.9878,1.6098,1.1513,4.37,5.2665
2019-12-25,1.76,24.18,457.06,18.9878,1.6098,1.1513,4.37,5.2665
2019-12-26,1.77,24.18,457.11,18.9899,1.6099999999999999,1.1514,4.37,5.266
2019-12-27,1.77,24.18,454.96,18.9006,1.6024,1.146,4.39,5.2908
2019-12-30,1.77,24.18,453.39,18.8354,1.5969,1.1421000000000001,4.4,5.3092
2019-12-31,1.77,23.83,456.46,21.5232,1.6545999999999998,1.1645,3.57,4.6461
2020-01-01,1.77,23.83,456.46,21.5232,1.6545999999999998,1.1645,3.57,4.6461
