ticker,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-09-09,7.75,32.86,1044.07,19.3055,4.1151,1.6843,5.33,5.1799
2019-09-10,7.73,32.86,1047.12,19.3619,4.1271,1.6892,5.32,5.1648
2019-09-11,7.74,32.86,1057.71,19.5577,4.1688,1.7063000000000001,5.26,5.1131
2019-09-12,7.74,32.86,1056.44,19.5343,4.1638,1.7042000000000002,5.27,5.1192
2019-09-13,8.01,32.86,1055.71,19.5208,4.1609,1.7031,5.27,5.1227
2019-09-16,8.02,32.86,1053.26,19.4755,4.1513,1.6991,5.28,5.1347
2019-09-17,8.02,32.86,1054.78,19.5036,4.1573,1.7016,5.28,5.1273
2019-09-18,8.15,32.86,1054.84,19.5047,4.1575,1.7017,5.28,5.127
2019-09-19,8.16,32.86,1059.81,19.5966,4.1771,1.7097,5.25,5.1029
2019-09-20,8.15,32.86,1066.2,19.7147,4.2023,1.72,5.22,5.0723
2019-09-23,8.16,32.87,1059.7,19.6727,4.1602,1.7178,5.24,5.0832
2019-09-24,8.14,32.87,1050.1,19.4945,4.1225,1.7022,5.29,5.1297
2019-09-25,8.14,32.87,1045.04,19.4006,4.1027,1.694,5.31,5.1545
2019-09-26,8.14,32.87,1038.47,19.2786,4.0769,1.6834,5.35,5.1871
2019-09-27,8.12,33.04,1034.11,19.197,4.0585,1.6762000000000001,5.37,5.2092
2019-09-30,8.42,32.75,1043.38,19.2407,4.0628,1.6294,5.76,5.1973
2019-10-01,8.41,32.75,1033.33,19.0554,4.0237,1.6137000000000001,5.82,5.2479
2019-10-02,8.41,32.75,1017.63,18.7659,3.9625,1.5892,5.91,5.3288
2019-10-03,8.39,32.76,1027.13,18.8775,4.003,1.6027,5.87,5.2973
2019-10-04,8.39,32.76,1043.45,19.1775,4.0666,1.6280999999999999,5.78,5.2144
2019-10-07,8.39,32.76,1038.97,19.0952,4.0491,1.6212,5.8,5.2369
2019-10-08,8.37,32.76,1019.95,18.7456,3.975,1.5915,5.91,5.3346
2019-10-09,8.38,32.76,1026.94,18.8741,4.0023,1.6024,5.87,5.2983
2019-10-10,8.38,32.76,1032.22,18.9711,4.0228,1.6106,5.84,5.2712
2019-10-11,8.38,32.76,1040.49,19.1231,4.0551,1.6235,5.79,5.2293
2019-10-14,8.37,32.76,1040.14,19.1167,4.0537,1.623,5.8,5.231
2019-10-15,8.39,32.76,1058.45,19.4532,4.1251,1.6515,5.7,5.1405
2019-10-16,5.3,32.76,1057.2,19.4302,4.1202,1.6496,5.7,5.1466
2019-10-17,5.3,32.76,1065.21,19.5774,4.1514,1.6621000000000001,5.66,5.1079
2019-10-18,5.31,32.76,1061.63,19.5116,4.1374,1.6564999999999999,5.68,5.1252
2019-10-21,5.31,32.76,1060.84,19.4971,4.1344,1.6553,5.68,5.129
2019-10-22,5.27,32.76,1062.67,19.5307,4.1415,1.6581000000000001,5.67,5.1201
2019-10-23,5.24,32.76,1069.33,19.6531,4.1675,1.6684999999999999,5.64,5.0882
2019-10-24,5.26,32.76,1062.95,19.5359,4.1426,1.6585999999999999,5.67,5.1188
2019-10-25,5.24,32.73,1065.01,19.5594,4.1495,1.6616,5.68,5.1126
2019-10-28,5.23,32.73,1076.07,19.7625,4.1926,1.6787999999999998,5.62,5.0601
2019-10-29,7.79,32.73,1088.55,19.9917,4.2412,1.6983000000000001,5.5600000000000005,5.0021
2019-10-30,7.84,32.73,1097.02,20.1473,4.2742,1.7115,5.51,4.9635
2019-10-31,7.13,32.75,1095.58,20.1176,4.2683,1.7090999999999998,5.52,4.9708
2019-11-01,7.13,32.75,1097.41,20.1512,4.2754,1.712,5.51,4.9625
