ticker,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-09-03,6.58,38.35,624.42,21.1701,6.0218,1.558,4.03,4.7236
2019-09-04,6.57,38.35,630.18,21.3654,6.0773,1.5724,3.99,4.6805
2019-09-05,6.61,38.35,625.55,21.2084,6.0327,1.5609,4.02,4.7151
2019-09-06,6.61,38.35,628.52,21.3091,6.0613,1.5683,4.0,4.6928
2019-09-09,6.61,38.39,626.83,21.2683,6.0409,1.5633,4.01,4.7018
2019-09-10,6.62,38.39,623.01,21.1387,6.0041,1.5537999999999998,4.04,4.7307
2019-09-11,6.6,38.39,625.55,21.2249,6.0286,1.5601,4.02,4.7115
2019-09-12,6.6,38.39,627.45,21.2893,6.0469,1.5649,4.01,4.6972000000000005
2019-09-13,6.61,38.41,622.72,21.1288,6.0013,1.5531000000000001,4.04,4.7329
2019-09-16,6.61,38.39,616.76,20.9266,5.9439,1.5382,4.08,4.7786
2019-09-17,6.6,38.39,620.14,21.0413,5.9765,1.5466,4.05,4.7526
2019-09-18,6.61,38.39,620.29,21.0464,5.9779,1.5470000000000002,4.05,4.7514
2019-09-19,6.61,38.39,620.27,21.0457,5.9777000000000005,1.5470000000000002,4.05,4.7516
2019-09-20,6.78,38.39,618.9,20.9992,5.9645,1.5434999999999999,4.06,4.7621
2019-09-23,6.8100000000000005,38.39,621.15,21.1026,6.0014,1.5483,4.05,4.7388
2019-09-24,6.8100000000000005,38.39,622.58,21.1512,6.0152,1.5518999999999998,4.04,4.7279
2019-09-25,6.8100000000000005,38.39,623.79,21.1923,6.0269,1.5549,4.03,4.7187
2019-09-26,6.8100000000000005,38.39,626.9,21.2979,6.0569,1.5626,4.01,4.6953
2019-09-27,6.82,38.25,626.39,21.3017,6.0433,1.5606,4.02,4.6945
2019-09-30,6.83,38.67,629.38,21.2932,6.1273,1.563,4.06,4.6963
2019-10-01,6.84,38.67,627.61,21.2333,6.1101,1.5586,4.07,4.7096
2019-10-02,6.85,38.67,615.86,20.8358,5.9957,1.5293999999999999,4.15,4.7994
2019-10-03,6.78,38.67,620.29,20.9856,6.0388,1.5404,4.12,4.7652
2019-10-04,6.78,38.67,629.91,21.3111,6.1325,1.5643,4.06,4.6924
2019-10-07,6.77,38.67,624.92,21.1423,6.0839,1.5516,4.09,4.7299
2019-10-08,6.59,38.67,619.12,20.946,6.0274,1.5372,4.13,4.7742
2019-10-09,6.6,38.67,623.81,21.1047,6.0731,1.5489000000000002,4.1,4.7383
2019-10-10,6.6,38.67,625.09,21.148,6.0856,1.552,4.09,4.7286
2019-10-11,6.58,38.67,624.47,21.127,6.0795,1.5505,4.14,4.7333
2019-10-14,6.57,38.67,621.8,21.0363,6.0535,1.5439,4.16,4.7537
2019-10-15,6.53,38.67,619.31,20.9521,6.0293,1.5377,4.17,4.7728
2019-10-16,6.55,38.67,619.84,20.97,6.0345,1.5390000000000001,4.21,4.7687
2019-10-17,6.48,38.67,622.28,21.053,6.0582,1.5451000000000001,4.19,4.7499
2019-10-18,6.36,38.67,623.45,21.0926,6.0696,1.548,4.13,4.741
2019-10-21,6.44,38.67,625.49,21.159,6.0895,1.553,4.12,4.7261
2019-10-22,6.46,38.67,625.67,21.1651,6.0912,1.5535,4.12,4.7248
2019-10-23,6.46,38.67,628.62,21.2649,6.1199,1.5608,4.18,4.7026
2019-10-24,6.46,38.67,630.4,21.3251,6.1373,1.5652,4.16,4.6893
2019-10-25,6.45,38.67,627.09,21.2037,6.105,1.557,4.19,4.7162
2019-10-28,6.44,38.67,625.95,21.1746,6.0922,1.5542,4.19,4.7226
2019-10-29,6.31,38.67,625.69,21.1658,6.0897,1.5535999999999999,4.19,4.7246
2019-10-30,6.07,38.67,628.6,21.2643,6.118,1.5608,4.06,4.7027
2019-10-31,5.99,38.62,627.29,21.1882,6.0864,1.5534,4.0,4.7196
2019-11-01,9.79,38.62,627.3,21.1885,6.0865,1.5534,4.0,4.7195
2019-11-04,9.93,38.62,621.43,20.9902,6.0296,1.5388,4.03,4.7641
2019-11-05,10.21,38.62,622.98,21.0426,6.0446,1.5427,4.02,4.7523
2019-11-06,10.16,38.62,626.25,21.153,6.0763,1.5508,4.0,4.7275
2019-11-07,10.31,38.62,623.85,21.072,6.0531,1.5448,4.02,4.7456
2019-11-08,10.27,38.62,623.97,21.0266,6.0542,1.5451000000000001,4.02,4.7559000000000005
2019-11-11,11.4,38.6,622.74,20.9888,6.0383,1.5421,4.04,4.7645
2019-11-12,11.42,38.6,624.18,21.0373,6.0523,1.5457,4.03,4.7535
2019-11-13,11.26,38.6,629.53,21.2176,6.1041,1.5589,4.0,4.7131
2019-11-14,11.33,38.6,628.7,21.1897,6.0961,1.5569,4.0,4.7193000000000005
2019-11-15,11.34,38.6,629.27,21.2087,6.1016,1.5583,4.0,4.715
2019-11-18,11.28,38.6,632.65,21.3226,6.1344,1.5667,3.98,4.6898
2019-11-19,11.3,38.6,631.08,21.2697,6.1192,1.5628,3.99,4.7015
2019-11-20,11.17,38.6,632.24,21.3088,6.1304,1.5657,3.98,4.6929
2019-11-21,11.29,38.6,628.86,21.1949,6.0976,1.5573000000000001,4.0,4.7181
2019-11-22,11.28,38.6,627.97,21.1649,6.089,1.5551,4.01,4.7248
2019-11-25,11.23,38.59,629.08,21.1679,6.0772,1.5554000000000001,4.01,4.7241
2019-11-26,11.06,38.59,634.26,21.3422,6.1272,1.5682,3.9699999999999998,4.6856
2019-11-27,11.07,38.59,635.0,21.3671,6.1344,1.5701,3.9699999999999998,4.6801
2019-11-28,11.07,38.59,635.0,21.3671,6.1344,1.5701,3.9699999999999998,4.6801
2019-11-29,11.09,38.59,634.09,21.3365,6.1256,1.5678,3.98,4.6868
2019-12-02,6.46,39.8,635.73,21.4463,6.1306,1.569,4.0,4.6628
2019-12-03,6.44,39.8,634.57,21.4072,6.1194,1.5661,4.01,4.6713000000000005
2019-12-04,6.41,39.8,638.77,21.5489,6.1599,1.5765,3.98,4.6406
2019-12-05,6.42,39.8,637.57,21.5084,6.1483,1.5735000000000001,3.99,4.6494
2019-12-06,6.42,39.8,639.92,21.5861,6.171,1.5795,3.9699999999999998,4.6326
2019-12-09,6.43,39.8,640.88,21.6363,6.1802,1.5819,3.9699999999999998,4.6219
2019-12-10,6.43,39.8,638.63,21.5603,6.1585,1.5763,3.98,4.6382
2019-12-11,5.9,39.8,639.6,21.5923,6.1679,1.5787,3.98,4.6312999999999995
2019-12-12,5.91,39.8,639.1,21.6753,6.1631,1.5775000000000001,3.98,4.6136
2019-12-13,5.88,39.8,641.18,21.7458,6.1831,1.5826,3.9699999999999998,4.5986
2019-12-16,5.88,39.8,643.49,21.8229,6.2054,1.5883,3.95,4.5824
2019-12-17,5.89,39.8,643.01,21.8066,6.2008,1.5871,3.95,4.5858
2019-12-18,5.89,39.8,640.66,21.7269,6.1781,1.5813000000000001,3.9699999999999998,4.6026
2019-12-19,5.87,39.8,644.75,21.8634,6.2176,1.5914000000000001,3.94,4.5738
2019-12-20,5.77,39.8,648.97,22.0087,6.2583,1.6019,3.92,4.5437
2019-12-23,5.92,39.8,646.79,21.9203,6.2386,1.5968,3.93,4.562
2019-12-24,5.92,39.8,646.51,21.910800000000002,6.2359,1.5960999999999999,3.93,4.564
2019-12-25,5.92,39.8,646.51,21.910800000000002,6.2359,1.5960999999999999,3.93,4.564
2019-12-26,5.92,39.8,647.39,21.9406,6.2443,1.5983,3.93,4.5578
2019-12-27,5.92,39.8,649.97,22.0281,6.2692,1.6047,3.91,4.5397
2019-12-30,5.91,39.69,646.58,21.8836,6.2148,1.5934,3.88,4.5696
2019-12-31,5.93,39.5,646.97,21.5696,6.2854,1.5893000000000002,4.0,4.6362
2020-01-01,5.93,39.5,646.97,21.5696,6.2854,1.5893000000000002,4.0,4.6362
