ticker,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-12-19,13.2,48.62,976.2779,24.6806,8.1831,1.7534,4.19,4.0518
2019-12-20,13.18,48.62,977.4302,24.7097,8.1927,1.7553999999999998,4.18,4.047
2019-12-23,13.23,48.6,976.1577,24.709600000000002,8.18,1.7539,4.18,4.047
2019-12-24,13.2,48.6,977.4344,24.7419,8.1907,1.7562,4.17,4.0417
2019-12-25,13.2,48.6,977.4344,24.7419,8.1907,1.7562,4.17,4.0417
2019-12-26,13.3,48.6,991.4198,25.0959,8.3079,1.7812999999999999,4.12,3.9847
2019-12-27,13.29,48.6,991.9381,25.108,8.3122,1.7823,4.11,3.9828
2019-12-30,13.28,48.91,984.8154,24.7677,8.2145,1.7678,4.12,4.0375
2019-12-31,13.29,48.5,986.2906,25.1923,8.1205,1.7621,4.1,3.9695
2020-01-01,13.29,48.5,986.2906,25.1923,8.1205,1.7621,4.1,3.9695
