ticker,XLV US Equity,XLV US Equity,XLV US Equity,XLV US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-10-29,94.33,2.027,13768396.0,78.325
2019-10-30,94.86,2.116,10179744.0,78.325
2019-10-31,94.75,2.1458,9675234.0,78.325
2019-11-01,94.87,2.1711,14670803.0,78.325
2019-11-03,94.87,2.1711,14670803.0,78.576
2019-11-04,94.58,2.2469,9878200.0,78.576
2019-11-05,93.91,2.2245,13273753.0,78.576
2019-11-06,94.23,2.2462,13130204.0,78.576
2019-11-07,94.44,2.2904999999999998,7827918.0,78.576
2019-11-08,95.13,2.2768,7756856.0,78.576
2019-11-10,95.13,2.2768,7756856.0,79.151
2019-11-11,94.74,2.3402,6092506.0,79.151
2019-11-12,95.31,2.311,13801645.0,79.151
2019-11-13,95.42,2.2795,6575151.0,79.151
2019-11-14,95.43,2.2784,6498793.0,79.151
2019-11-15,97.46,2.2993,11338575.0,79.151
2019-11-17,97.46,2.2993,11338575.0,78.482
2019-11-18,97.13,3.0549,11251369.0,78.482
2019-11-19,97.79,2.206,10025766.0,78.482
2019-11-20,97.66,2.1458,12305824.0,78.482
2019-11-21,97.91,2.1363,9122428.0,78.482
2019-11-22,98.26,2.0631,6141823.0,78.482
2019-11-24,98.26,2.0631,6141823.0,76.981
2019-11-25,99.41,2.2225,11727071.0,76.981
2019-11-26,99.33,2.0916,11073600.0,76.981
2019-11-27,99.84,2.0959,6333327.0,76.981
2019-11-29,99.49,2.0602,2391998.0,76.981
2019-12-01,99.49,2.0602,2391998.0,76.473
2019-12-02,99.05,2.12,6684759.0,76.473
2019-12-03,98.83,2.0526,7820107.0,76.473
2019-12-04,99.75,2.0033,6237742.0,76.473
2019-12-05,99.75,2.004,7390352.0,76.473
2019-12-06,100.41,1.9891999999999999,5658524.0,76.473
2019-12-08,100.41,1.9891999999999999,5658524.0,76.242
2019-12-09,99.71,2.0206,5328658.0,76.242
2019-12-10,99.93,2.0044,6027927.0,76.242
2019-12-11,100.02,2.0008,6064341.0,76.242
2019-12-12,100.95,2.0105,9769053.0,76.242
2019-12-13,100.88,2.0258,6433171.0,76.242
2019-12-15,100.88,2.0258,6433171.0,75.815
2019-12-16,101.97,2.0934,7730256.0,75.815
2019-12-17,101.86,2.0568,4643726.0,75.815
2019-12-18,102.0,2.042,5202934.0,75.815
2019-12-19,102.4,2.0254,6637192.0,75.815
2019-12-20,102.7,3.251,8586532.0,75.815
2019-12-22,102.7,3.251,8586532.0,74.985
2019-12-23,103.11,3.3973,4770887.0,74.985
2019-12-24,102.98,2.6743,2071790.0,74.985
2019-12-26,102.91,2.6627,2910075.0,74.985
2019-12-27,102.94,2.6494,3605004.0,74.985
2019-12-29,102.94,2.6494,3605004.0,75.756
2019-12-30,101.66,2.6955999999999998,5665146.0,75.756
2019-12-31,101.86,2.6962,4746947.0,75.756
