ticker,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-10-30,7.38,19.18,478.62,13.6013,1.4252,2.3473,3.24,7.3522
2019-10-31,7.37,19.18,475.99,13.5266,1.4174,2.3344,3.26,7.3929
2019-11-01,7.29,19.18,482.76,13.7185,1.4373,2.3678,3.21,7.2894
2019-11-04,7.29,19.18,487.06,13.8407,1.4501,2.3889,3.19,7.225
2019-11-05,7.28,19.18,489.12,13.8993,1.4563,2.399,3.17,7.1946
2019-11-06,7.28,19.18,491.13,13.9564,1.4623,2.4088,3.16,7.1652000000000005
2019-11-07,7.29,19.18,494.41,14.0496,1.472,2.4249,3.14,7.1176
2019-11-08,7.29,19.18,494.49,14.0519,1.4723,2.4253,3.14,7.1165
2019-11-11,7.29,19.18,493.2,14.0152,1.4684,2.419,3.15,7.1350999999999996
2019-11-12,7.3,19.18,493.38,14.0203,1.4689999999999999,2.4199,3.15,7.1325
2019-11-13,7.29,19.18,490.55,13.9399,1.4605000000000001,2.406,3.16,7.1736
2019-11-14,7.31,19.18,490.99,13.9524,1.4618,2.4082,3.16,7.1672
2019-11-15,7.32,19.18,493.22,14.0158,1.4685000000000001,2.4191,3.15,7.1348
2019-11-18,7.32,19.18,493.95,14.0365,1.4707,2.4227,3.14,7.1243
2019-11-19,7.32,19.18,494.73,14.0587,1.4729999999999999,2.4265,3.14,7.113
2019-11-20,7.33,19.18,492.26,13.9885,1.4656,2.4144,3.15,7.1487
2019-11-21,7.26,19.18,491.78,13.9749,1.4642,2.412,3.16,7.1557
2019-11-22,7.26,19.18,495.51,14.0809,1.4753,2.4303,3.13,7.1018
2019-11-25,7.21,19.18,498.74,14.1727,1.4849,2.4462,3.11,7.0558
2019-11-26,7.19,19.18,498.15,14.1559,1.4832,2.4433,3.12,7.0642
2019-11-27,7.19,19.18,500.03,14.2093,1.4888,2.4525,3.1,7.0376
2019-11-28,7.19,19.18,500.03,14.2093,1.4888,2.4525,3.1,7.0376
2019-11-29,7.19,19.18,498.96,14.1789,1.4856,2.4472,3.11,7.0527
2019-12-02,7.2,19.18,495.74,14.0874,1.476,2.4314999999999998,3.13,7.0985
2019-12-03,7.21,19.18,489.21,13.9018,1.4565000000000001,2.3994,3.17,7.1933
2019-12-04,7.22,19.18,494.04,14.0391,1.4708999999999999,2.4231,3.14,7.123
2019-12-05,7.22,19.17,495.88,14.1098,1.4776,2.4288,3.13,7.0873
2019-12-06,7.21,19.17,502.58,14.3004,1.4976,2.4617,3.09,6.9928
2019-12-09,7.58,19.21,501.07,14.2627,1.4952,2.4554,3.14,7.0113
2019-12-10,7.58,19.21,501.06,14.2624,1.4950999999999999,2.4554,3.14,7.0114
2019-12-11,7.57,19.21,500.03,14.2331,1.4921,2.4503,3.14,7.0259
2019-12-12,7.5600000000000005,19.21,510.03,14.5178,1.5219,2.4993,3.08,6.8881
2019-12-13,7.5600000000000005,19.21,507.63,14.4494,1.5147,2.4876,3.1,6.9207
2019-12-16,7.57,19.21,509.67,14.5075,1.5208,2.4976,3.08,6.893
2019-12-17,7.57,19.21,512.16,14.5784,1.5283,2.5098000000000003,3.07,6.8595
2019-12-18,7.57,19.21,509.73,14.5092,1.521,2.4979,3.08,6.8922
2019-12-19,7.61,19.21,509.88,14.5135,1.5215,2.4986,3.08,6.8901
2019-12-20,8.18,19.21,510.17,14.5217,1.5223,2.5,3.08,6.8862
2019-12-23,8.19,19.15,509.28,14.5072,1.5225,2.4935,3.12,6.8931000000000004
2019-12-24,8.19,19.15,509.79,14.5218,1.524,2.496,3.12,6.8862
2019-12-25,8.19,19.15,509.79,14.5218,1.524,2.496,3.12,6.8862
2019-12-26,8.19,19.15,512.59,14.6015,1.5324,2.5097,3.1,6.8486
2019-12-27,8.19,19.15,511.89,14.5816,1.5303,2.5063,3.1,6.858
2019-12-30,8.2,19.15,509.9,14.5249,1.5244,2.4965,3.12,6.8847000000000005
2019-12-31,8.2,18.26,511.39,13.9546,1.4939,2.35,8.62,7.1661
2020-01-01,8.2,18.26,511.39,13.9546,1.4939,2.35,8.62,7.1661
