ticker,XLF US Equity,XLF US Equity,XLF US Equity,XLF US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-10-20,28.11,2.6390000000000002,40525653.0,74.336
2019-10-21,28.5,2.7671,44952222.0,74.336
2019-10-22,28.42,2.6968,50580987.0,74.336
2019-10-23,28.54,2.7005,30900020.0,74.336
2019-10-24,28.5,2.6689,33507175.0,74.336
2019-10-25,28.64,2.6774,28330218.0,74.336
2019-10-27,28.64,2.6774,28330218.0,74.336
2019-10-28,28.79,2.5831,50104567.0,74.336
2019-10-29,28.86,2.5794,48458100.0,74.336
2019-10-30,28.84,2.5035,51106706.0,74.336
2019-10-31,28.7,2.5212,56795530.0,74.336
2019-11-01,29.12,2.4469,42302273.0,74.336
2019-11-03,29.12,2.4469,42302273.0,72.317
2019-11-04,29.37,2.4745,37319056.0,72.317
2019-11-05,29.48,2.4506,39516122.0,72.317
2019-11-06,29.63,2.5461,40179892.0,72.317
2019-11-07,29.85,2.5408,61738567.0,72.317
2019-11-08,29.84,2.5775,53810453.0,72.317
2019-11-10,29.84,2.5775,53810453.0,70.766
2019-11-11,29.76,2.7507,19702774.0,70.766
2019-11-12,29.8,2.7582,44640587.0,70.766
2019-11-13,29.61,2.7426,43932498.0,70.766
2019-11-14,29.67,2.7405,46171953.0,70.766
2019-11-15,29.75,2.7081,30098954.0,70.766
2019-11-17,29.75,2.7081,30098954.0,65.527
2019-11-18,29.81,2.851,25470007.0,65.527
2019-11-19,29.87,2.4484,30772211.0,65.527
2019-11-20,29.73,2.4786,46723879.0,65.527
2019-11-21,29.7,2.5059,37192681.0,65.527
2019-11-22,29.92,2.4856,35195027.0,65.527
2019-11-24,29.92,2.4856,35195027.0,65.413
2019-11-25,30.11,2.6372999999999998,50100339.0,65.413
2019-11-26,30.08,2.6325,33519997.0,65.413
2019-11-27,30.2,2.6343,31017287.0,65.413
2019-11-29,30.15,2.5964,19444153.0,65.413
2019-12-01,30.15,2.5964,19444153.0,64.133
2019-12-02,29.96,2.6683,52431092.0,64.133
2019-12-03,29.54,2.6997,67892226.0,64.133
2019-12-04,29.82,2.6823,41793964.0,64.133
2019-12-05,29.96,2.8269,44969722.0,64.133
2019-12-06,30.36,2.8034,40811264.0,64.133
2019-12-08,30.36,2.8034,40811264.0,63.576
2019-12-09,30.29,2.8504,22101506.0,63.576
2019-12-10,30.3,2.8521,37369637.0,63.576
2019-12-11,30.23,2.8226,24491884.0,63.576
2019-12-12,30.82,2.8266999999999998,68434041.0,63.576
2019-12-13,30.71,2.7994,48138027.0,63.576
2019-12-15,30.71,2.7994,48138027.0,63.522
2019-12-16,30.82,2.8937,45917698.0,63.522
2019-12-17,30.94,2.7569,30916898.0,63.522
2019-12-18,30.81,2.7542,39089750.0,63.522
2019-12-19,30.8,2.6808,36947081.0,63.522
2019-12-20,30.68,4.0946,97417028.0,63.522
2019-12-22,30.68,4.0946,97417028.0,67.476
2019-12-23,30.61,4.0182,38323202.0,67.476
2019-12-24,30.68,3.0653,12315909.0,67.476
2019-12-26,30.85,3.0695,15891278.0,67.476
2019-12-27,30.77,2.9452,19423051.0,67.476
2019-12-29,30.77,2.9452,19423051.0,70.075
2019-12-30,30.68,2.9128,18825595.0,70.075
2019-12-31,30.78,2.9306,15788138.0,70.075
