ticker,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-09-13,4.04,39.95,317.12,20.9929,2.2842000000000002,2.6555,-2.49,4.7635
2019-09-16,4.04,39.95,317.38,21.0101,2.286,2.6577,-2.49,4.7596
2019-09-17,4.04,39.95,320.21,21.1975,2.3064,2.6814,-2.4699999999999998,4.7175
2019-09-18,4.04,39.95,321.72,21.2974,2.3173,2.694,-2.45,4.6954
2019-09-19,4.04,39.95,322.88,21.3742,2.3257,2.7038,-2.45,4.6785
2019-09-20,4.05,39.95,324.08,21.4536,2.3343,2.7138,-2.44,4.6612
2019-09-23,4.02,39.96,324.5,21.4626,2.3407,2.7197,-2.44,4.6593
2019-09-24,4.02,39.96,327.93,21.6895,2.3654,2.7484,-2.42,4.6105
2019-09-25,4.02,39.96,327.84,21.6835,2.3648,2.7477,-2.42,4.6118
2019-09-26,4.02,39.96,329.42,21.788,2.3762,2.7609,-2.4,4.5897
2019-09-27,4.03,39.96,328.29,21.7133,2.368,2.7514,-2.41,4.6055
2019-09-30,4.03,39.73,328.49,21.2584,2.3186999999999998,2.7651,-2.84,4.704
2019-10-01,4.03,39.73,327.49,21.1937,2.3116,2.7567,-2.85,4.7184
2019-10-02,4.03,39.73,323.25,20.9193,2.2817,2.721,-2.89,4.7803
2019-10-03,4.03,39.73,324.12,20.9756,2.2879,2.7283,-2.88,4.7674
2019-10-04,4.04,39.73,329.06,21.2953,2.3227,2.7699,-2.84,4.6959
2019-10-07,4.2,39.73,327.59,21.2001,2.3123,2.7575,-2.85,4.7169
2019-10-08,4.21,39.73,324.27,20.9853,2.2889,2.7296,-2.88,4.7652
2019-10-09,4.21,39.73,325.92,21.0921,2.3006,2.7435,-2.87,4.7411
2019-10-10,4.21,39.73,325.54,21.0675,2.2979,2.7403,-2.87,4.7467
2019-10-11,4.19,39.73,324.41,20.9944,2.2899,2.7308,-2.88,4.7632
2019-10-14,4.19,39.73,322.23,20.8533,2.2745,2.7124,-2.9,4.7954
2019-10-15,4.18,39.73,321.27,20.7911,2.2677,2.7043,-2.91,4.8097
2019-10-16,4.18,39.73,322.03,20.8403,2.2731,2.7107,-2.9,4.7984
2019-10-17,4.19,39.73,322.76,20.8876,2.2782999999999998,2.7169,-2.89,4.7875
2019-10-18,4.19,39.73,323.94,20.9639,2.2866,2.7268,-2.88,4.7701
2019-10-21,4.18,39.73,325.13,21.0409,2.295,2.7368,-2.87,4.7526
2019-10-22,4.19,39.73,326.58,21.1348,2.3052,2.749,-2.86,4.7315000000000005
2019-10-23,4.19,39.73,327.78,21.2124,2.3137,2.7591,-2.85,4.7142
2019-10-24,4.19,39.73,329.07,21.2959,2.3228,2.77,-2.84,4.6957
2019-10-25,4.19,39.73,325.49,21.0642,2.2975,2.7399,-2.87,4.7474
2019-10-28,4.18,39.73,321.23,20.7886,2.2675,2.7039999999999997,-2.84,4.8103
2019-10-29,4.18,39.73,321.58,20.8112,2.2699,2.7069,-2.83,4.8051
2019-10-30,4.21,39.73,324.36,20.9911,2.2895,2.7304,-2.81,4.7639
2019-10-31,4.0,39.73,325.85,21.0875,2.3001,2.7429,-2.8,4.7421
2019-11-01,3.98,39.73,325.17,21.0435,2.2953,2.7372,-2.8,4.7521
2019-11-04,4.11,39.73,321.0,20.7737,2.2658,2.7020999999999997,-2.84,4.8138
2019-11-05,4.18,39.73,317.71,20.5608,2.2426,2.6744,-2.87,4.8636
