ticker,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-12-02,8.14,33.33,176.69,21.8668,3.4168,3.0683,4.6899999999999995,4.5731
2019-12-03,8.14,33.33,176.54,21.8482,3.4139,3.0657,4.6899999999999995,4.577
2019-12-04,8.14,33.33,177.67,21.9881,3.4356999999999998,3.0853,4.66,4.5479
2019-12-05,8.14,33.36,178.36,22.1331,3.4691,3.1055,4.63,4.5181000000000004
2019-12-06,8.17,33.36,179.48,22.272100000000002,3.4909,3.125,4.61,4.4899000000000004
2019-12-09,8.18,33.36,178.96,22.1996,3.4808,3.1159,4.62,4.5046
2019-12-10,8.12,33.36,178.32,22.1202,3.4684,3.1048,4.64,4.5207
2019-12-11,8.04,33.36,178.86,22.1872,3.4789,3.1142,4.62,4.5071
2019-12-12,7.99,33.36,178.85,22.186,3.4787,3.114,4.62,4.5074
2019-12-13,8.0,33.36,178.27,22.114,3.4674,3.1039,4.64,4.522
2019-12-16,8.01,33.36,180.12,22.3435,3.5034,3.1361,4.59,4.4756
2019-12-17,8.0,33.36,180.14,22.346,3.5038,3.1365,4.59,4.4751
2019-12-18,8.04,33.36,180.67,22.4117,3.5141,3.1457,4.58,4.4619
2019-12-19,8.07,33.36,182.1,22.5891,3.5419,3.1706,4.54,4.4269
2019-12-20,8.04,33.36,182.8,22.676,3.5555,3.1828,4.52,4.41
2019-12-23,8.05,33.38,182.18,22.6512,3.5534,3.1558,4.53,4.4148
2019-12-24,8.04,33.38,181.94,22.6213,3.5487,3.1517,4.53,4.4206
2019-12-25,8.04,33.38,181.94,22.6213,3.5487,3.1517,4.53,4.4206
2019-12-26,8.06,33.38,183.42,22.8053,3.5776,3.1773,4.5,4.3849
2019-12-27,8.05,33.38,183.16,22.773,3.5725,3.1728,4.5,4.3911999999999995
2019-12-30,8.02,33.5,181.28,22.6891,3.5313,3.132,4.52,4.4074
2019-12-31,8.01,33.28,181.64,22.0502,3.4001,3.0987,4.62,4.5351
2020-01-01,8.01,33.28,181.64,22.0502,3.4001,3.0987,4.62,4.5351
